,1-Core Naïve MC_NDFS ,16-Core Naïve MC_NDFS ,MC_GC_NDFS,MC_AR_NDFS,MC_RS_NDFS,NC_NEW_NDFS
FALSE,327.6,368.4,408.2,195,375.6,193.2
FALSE,607.6,683.2,710.8,363.6,697.4,360.6
FALSE,277.6,313.6,341.8,165.8,311.8,163.6
FALSE,696.2,785.4,865.8,411,789,411.8
FALSE,78,87.8,96.4,48.2,85.8,44.6
FALSE,506.4,575.4,598.6,302,577.6,300.2
FALSE,282.8,318.4,338.4,169.4,321.8,166.4
FALSE,679.2,768.8,810.2,405,777.4,401.2
FALSE,524.4,593,719.8,312.2,601.2,310
FALSE,691.6,764.2,788.4,401.4,778.4,401.8
FALSE,575,633.4,659.8,335,639.8,329.4
FALSE,8,9.2,8.8,3,5.8,3.2
FALSE,467.8,526.4,560.4,276.4,531.8,275.2
FALSE,29.8,34.2,32.4,16.2,31,17.2
FALSE,539.6,601.8,654.2,314.2,608.8,311.6
FALSE,222.8,253.2,265.6,132.4,253,131.6
FALSE,116.8,132,142.2,67.6,129.6,67.2
FALSE,249.2,281.8,291.4,148,281,146.8
FALSE,184.8,208.8,221.2,111,210.2,108.8
FALSE,637,718.6,778.6,379.8,725.6,375
FALSE,95.6,108.2,118.6,56.8,108.2,56.2
TRUE,307,299.4,290.4,163,285.8,146.6
TRUE,27.4,12.2,28.6,17.4,12.6,16.4
TRUE,48.8,1.2,1,2.4,0.6,1
TRUE,51.4,0.8,1,1.4,2.6,0.6
TRUE,24.4,0.6,0.8,1,6.2,1
TRUE,0.4,1,1,0.4,0.8,0.8
TRUE,214.2,85.4,121.2,116.6,127,120
TRUE,11.2,0.8,1,1,0.8,0.8
TRUE,0.4,1,0.8,0.6,0.4,0.8
TRUE,7.6,0.8,0.8,1,1,0.8
TRUE,41.6,0.6,1,1.2,1,1
TRUE,200.4,136.4,44.8,35.2,1,18.8
TRUE,6,0.8,0.8,1,0.8,1
TRUE,39,26.2,42.2,25.6,43.6,24.4
TRUE,63.4,1,1,1,1,0.8
TRUE,48,51.8,50.8,21,31.6,39.4
TRUE,6.4,1.8,2.6,1,3.8,1.2
TRUE,162.4,180.2,175.2,141.8,146.6,104
TRUE,65.4,58.4,56.2,70.4,72.8,55
TRUE,16.2,0.8,0.8,0.8,4.2,0.8
TRUE,4.2,0.8,0.8,1,0.2,1
TRUE,12.2,0.8,0.6,7.6,0.8,1
TRUE,8.4,1,1,0.8,1,0.8
TRUE,3,0.8,0.6,1.2,1.2,0.8
TRUE,64.8,70.6,56,71.6,71.2,67
TRUE,44.4,29.6,10.4,1.4,1,10.2
TRUE,39.4,0.8,1,1,0.8,1
TRUE,40,9.4,8.6,1,8.6,1.2
TRUE,178.4,160.2,192.8,159.4,159.8,142.6
TRUE,0.4,0.4,0.8,0.6,0.2,0.8
TRUE,31.4,0.8,1,1,1,1
TRUE,373.2,327.6,396.8,407.2,412.4,397.4
TRUE,148.2,99.6,97.2,48.2,166.4,51.2
TRUE,70,69.2,69,44.6,42,65.6
TRUE,12.4,0.4,0.6,1,1.6,0.8
TRUE,208.4,46.4,45.4,45.6,47,35.4
TRUE,338.6,228.4,369,106.2,382,131
TRUE,6.2,0.8,0.6,1,0.8,0.8
TRUE,356.6,320.4,390.8,402.6,404.8,383.8
TRUE,10,1,2.6,1,3.2,0.8
TRUE,197.8,89.6,172.2,220.4,219.4,129
TRUE,23,1.2,1,1,1.2,1
TRUE,10.2,1.8,1.4,1,0.8,1
TRUE,0.6,0.4,0.8,0.6,0.4,1
TRUE,39.4,10,33,9.2,41.6,26.4
TRUE,162.8,111,106.4,16.4,37.6,76.8
TRUE,2.4,0.6,0.4,0.6,0.6,0.6
TRUE,227,251.6,196.2,250.4,253,253
TRUE,20.6,0.8,1,0.6,0.4,1
TRUE,0.4,1,0.8,0.8,0.8,0.8
TRUE,365.2,409.8,395.2,237.6,411,210
TRUE,29.8,1.2,1,1,1,1
TRUE,125.4,1,1,1,80.6,1.2
TRUE,279,313.6,245,250.2,313.4,312.2
TRUE,3.4,0.8,0.8,0.8,0.8,1
TRUE,39.8,1,1,1.2,1,0.8
TRUE,313.8,344.4,267.2,341.6,346.6,342.2
TRUE,13.8,0.8,1,1,1,4
TRUE,15,0.8,1,0.8,0.8,0.8
TRUE,228,254.4,246.2,251.8,254.4,201.8
TRUE,28.2,7,12.6,19,19,1
TRUE,93.6,1,1,0.8,0.8,0.8
TRUE,166.4,1,1,1,0.6,2
TRUE,37.4,0.8,1,1,1,0.8
TRUE,164.2,110.2,142,56.4,110.4,64
TRUE,60.6,54,53.2,33,40.4,54.6
TRUE,62.4,1,1,0.6,1.2,0.8
TRUE,92.4,1,0.8,0.8,1.2,0.8
TRUE,83.8,19.6,0.8,0.8,1,1
TRUE,371.8,245.4,402.8,81.6,167,80.8
TRUE,271.4,179.8,232.4,138.4,179.6,194.4
TRUE,54,30.8,40.4,40.6,30.2,31.2
TRUE,330,371.4,360.8,368.8,372.2,369
TRUE,154.4,61.6,1,0.8,61.6,1.6
TRUE,23.2,0.8,1,0.6,1,0.4
TRUE,32,1.2,1,2,1,1
TRUE,3.8,1.8,1.8,0.6,1.2,0.8
TRUE,18.2,3.2,4.4,1,1,1
TRUE,50.4,1.2,1,1,0.6,1
TRUE,2.4,0.6,0.4,0.8,1.2,0.6
TRUE,322,359.4,350,230.4,360.2,285.8
TRUE,51,1,0.8,0.8,1,1.4
TRUE,0.4,1,0.8,0.4,1,0.8
TRUE,236.2,160.2,207,25.8,212,1.6
TRUE,3,0.4,1.6,0.8,0.8,1
TRUE,2,0.6,0.8,0.8,0.4,0.8
TRUE,17,17,1.6,13.2,7,9.8
TRUE,68.2,46.4,72.8,60,45.2,60.2
TRUE,20.2,1.4,1,1.2,4.8,0.8
TRUE,4,0.6,0.6,0.8,1,1
TRUE,11.6,0.4,1,0.8,0.8,0.6
TRUE,1.2,0.6,1.2,0.6,0.8,1
TRUE,14.2,0.6,0.6,0.4,1,0.4
TRUE,398.2,358.2,432.6,444.6,449,356.4
TRUE,335.8,299.2,291.8,226.4,228,298.8
TRUE,8,0.8,1,0.8,1.2,0.8
TRUE,93.2,41.8,80.4,102.8,82.8,98.2
TRUE,12.2,7.6,5,5.4,5.2,1.6
TRUE,141.6,64.4,93,95.4,127.4,126
TRUE,4.6,0.6,0.6,0.6,1.2,1
TRUE,295.4,332.8,322.4,329,332.6,329.8
TRUE,38.6,1,1,1,0.6,0.8
TRUE,0.6,0.2,0.4,1,0.2,0.6
TRUE,383.6,420.8,329.2,85.2,422.6,179
TRUE,211.2,1,136.2,20.8,94,1
TRUE,65.8,1,56.8,43.8,44,58.6
TRUE,0.6,0,0.6,0.6,0.8,0.6
